	07	15	39	40	57	12	02
	14	22	26	55	63	26	03
	23	26	27	28	66	11	02
	14	17	35	38	60	25	02
	15	28	46	62	64	17	03
	03	23	32	37	58	22	02
	19	22	52	56	67	21	02
	03	20	48	54	59	04	04
	05	12	50	61	69	23	02
	14	27	29	59	65	12	02
	01	05	25	63	67	03	02
	12	29	34	53	65	23	02
	05	18	33	43	65	02	02
	06	14	36	51	54	04	02
	04	08	10	43	53	07	02
	15	23	34	51	55	04	02
	37	43	44	45	53	25	03
	01	09	22	36	68	22	02
	14	19	39	47	51	15	03
	11	27	31	36	67	11	02
	06	17	24	53	57	03	03
	11	20	41	42	56	06	02
	04	08	30	52	59	02	10
	14	41	50	56	57	18	05
	09	32	37	41	56	14	10
	05	12	20	21	47	01	02
	12	21	22	29	32	21	02
	18	21	24	30	60	20	03
	10	13	30	51	69	10	02
	35	41	44	58	59	03	03
	08	32	47	53	59	03	03
	03	06	45	66	68	13	02
	14	37	47	55	67	06	02
	01	19	31	48	61	06	02
	22	29	35	53	56	13	02
	05	26	36	64	69	19	03
	19	43	47	60	68	10	02
	13	23	32	35	68	21	03
	07	09	26	44	68	03	03
	04	08	23	46	65	01	02
	40	43	45	50	61	25	03
	13	17	24	59	62	08	02
	01	05	16	22	54	24	03
	03	06	11	14	66	21	02
	04	18	21	26	38	01	03
	08	11	14	16	49	14	03
	05	35	38	42	57	13	02
	09	13	42	48	60	18	02
	17	23	28	34	38	08	03
	06	15	34	45	52	08	02
	03	32	34	42	61	07	02
	01	02	39	43	66	02	03
	07	10	20	44	57	03	02
	02	10	25	66	67	26	04
	07	17	33	61	68	04	02
	06	08	09	37	40	26	02
	01	45	53	64	66	03	03
	06	16	23	30	61	02	02
	05	23	28	56	66	17	05
	02	29	41	45	62	06	03
	06	32	35	36	65	04	05
	03	27	30	63	65	01	03
	01	15	17	46	66	15	03
	04	17	26	32	49	10	02
	12	21	23	39	67	06	04
	15	33	43	59	60	08	03
	16	19	25	32	49	18	02
	21	52	54	64	68	04	03
	16	20	37	44	62	12	03
	24	25	52	60	66	05	03
	10	14	50	53	63	21	02
	30	34	39	53	67	11	02
	18	36	45	47	69	14	03
	05	06	45	55	59	14	03
	06	10	21	35	46	23	02
	01	19	25	27	68	21	02
	21	31	42	49	59	23	05
	04	06	14	20	32	13	02
	27	49	50	51	52	02	02
	29	30	41	48	64	01	04
	02	08	14	24	69	26	02
	01	02	03	07	39	25	03
	05	13	28	38	63	21	05
	10	17	18	43	65	13	05
	02	12	16	29	54	06	02
	08	12	20	21	32	10	04
	23	25	47	48	50	24	03
	05	08	41	65	66	20	03
	14	29	31	56	61	01	02
	07	36	48	57	58	24	02
	06	19	37	49	59	22	03
	03	07	15	27	69	19	02
	08	12	42	46	56	12	02
